GOI,NON_GOI,mcc,TP,TN,FP,FN,sensitivity,specificity,untypeable,snp_sets,partition,type
1,1,1,760,1657,0,0,1,1,0,"690728, 196093, 30155, 42634",training,mcc
0.985817506498918,0.985817506498918,0.985817506498918,12680,15716,41,160,0.987538940809969,0.997397981849337,63,"690728, 196093, 30155, 42634",validation,mcc
0.986856467515576,0.986856467515576,0.986856467515576,13440,17373,41,160,0.988235294117647,0.997645572527851,63,"690728, 196093, 30155, 42634",all,mcc
0.999040473563467,0.999040473563467,0.999040473563467,759,1657,0,1,0.998684210526316,1,0,"690716, 233278, 690717, 1671398, 30155",training,mcc
0.983167208188647,0.983167208188647,0.983167208188647,12714,15613,140,98,0.992350921011552,0.991112803910366,95,"690716, 233278, 690717, 1671398, 30155",validation,mcc
0.984340005457692,0.984340005457692,0.984340005457692,13473,17270,140,99,0.992705570291777,0.991958644457208,95,"690716, 233278, 690717, 1671398, 30155",all,mcc
0.977900090990665,0.977900090990665,0.977900090990665,746,1648,9,14,0.981578947368421,0.994568497284249,0,"1245379, 2120883, 985049, 407868, 71778",training,mcc
0.754922144027599,0.754922144027599,0.754922144027599,10823,14253,1408,2051,0.840686655274196,0.910095140795607,125,"1245379, 2120883, 985049, 407868, 71778",validation,mcc
0.771316803954935,0.771316803954935,0.771316803954935,11569,15901,1417,2065,0.848540413671703,0.918177618662663,125,"1245379, 2120883, 985049, 407868, 71778",all,mcc
0.972373527455565,0.972373527455565,0.972373527455565,752,1636,21,8,0.989473684210526,0.987326493663247,0,"1273998, 1556892, 978615, 888705, 645098",training,mcc
0.69216511224122,0.69216511224122,0.69216511224122,11061,13127,2602,1794,0.860443407234539,0.834573081569076,76,"1273998, 1556892, 978615, 888705, 645098",validation,mcc
0.713138438730593,0.713138438730593,0.713138438730593,11813,14763,2623,1802,0.867645978699963,0.849131485102956,76,"1273998, 1556892, 978615, 888705, 645098",all,mcc
0.975068785794021,0.975068785794021,0.975068785794021,748,1643,14,12,0.984210526315789,0.991550995775498,0,"1274076, 627498, 2152348, 115888, 407868",training,mcc
0.735699523504974,0.735699523504974,0.735699523504974,10833,14023,1739,1994,0.844546659390348,0.889671361502347,71,"1274076, 627498, 2152348, 115888, 407868",validation,mcc
