type,snp_sets,tr_score,va_score,co_score,tr_untypeable,va_untypeable,co_untypeable
mcc_multi,"690728, 1462232, 1120938, 71016, 1373841",0.9535,0.8743,0.8797,0,223,223
mcc_multi,"1763893, 1462232, 134532, 631940, 898599",0.8800,0.5391,0.5633,0,430,430
mcc_multi,"1763896, 1462232, 134532, 631940, 898599",0.8800,0.5380,0.5622,0,454,454
mcc_multi,"244219, 631940, 1462232, 1120938, 1373841",0.8692,0.4617,0.4905,0,192,192
mcc_multi,"243956, 631940, 1462232, 464949, 1373841",0.8653,0.4628,0.4904,0,1302,1302
mcc_multi,"243959, 631940, 1462232, 464949, 1373841",0.8653,0.4627,0.4904,0,1302,1302
mcc_multi,"243960, 631940, 1462232, 464949, 1373841",0.8653,0.4627,0.4904,0,1302,1302
mcc_multi,"1360306, 1462258, 134532, 1372843, 631940",0.8291,0.4022,0.4339,0,415,415
mcc_multi,"1360309, 1462258, 134532, 1372843, 631940",0.8291,0.4026,0.4342,0,415,415
mcc_multi,"463854, 1120938, 1462258, 631940, 1373841",0.8267,0.4209,0.4491,0,1728,1728
simpson_by_group,"1464079, 1462087, 134496",0.4269,0.3983,0.4001,0,22,22
simpson_by_group,"1464076, 1462087, 134496, 21564",0.4269,0.3981,0.4000,0,25,25
simpson_by_group,"1464166, 1462087",0.4260,0.4059,0.4072,0,19,19
simpson_by_group,"1464223, 1462087, 21564",0.4260,0.4055,0.4068,0,21,21
simpson_by_group,"1464227, 1462087, 21564",0.4260,0.4054,0.4067,0,21,21
simpson_by_group,"1464266, 1462087, 21564",0.4260,0.4040,0.4054,0,21,21
simpson_by_group,"1464289, 1462087, 21564",0.4260,0.4039,0.4053,0,21,21
simpson_by_group,"1464403, 1462087, 21564",0.4260,0.4036,0.4051,0,21,21
simpson_by_group,"1464442, 1462087, 21564",0.4260,0.3983,0.4001,0,21,21
simpson_by_group,"1464451, 1462087, 21564",0.4260,0.4033,0.4048,0,21,21
