set,type,snp_sets,partition,R_R,S_S,S_R,R_S,untypeable
1,mcc_multi,"1325648, 170618, 486320, 216579, 1855080",training,0.2408,0.0000,0.2159,0,0
1,mcc_multi,"1325648, 170618, 486320, 216579, 1855080",validation,0.2356,0.0000,0.2134,0,0
1,mcc_multi,"1325648, 170618, 486320, 216579, 1855080",all,0.2366,0.0000,0.2139,0,0
1,mcc_multi,"2112605, 486320, 506981, 1854936, 1447337",training,0.1959,0.0000,0.2098,0,0
1,mcc_multi,"2112605, 486320, 506981, 1854936, 1447337",validation,0.1962,0.0000,0.2005,0,1
1,mcc_multi,"2112605, 486320, 506981, 1854936, 1447337",all,0.1961,0.0000,0.2024,0,1
1,mcc_multi,"1854936, 1625339, 255255, 450556, 1797450",training,0.0519,0.0000,0.0501,0,0
1,mcc_multi,"1854936, 1625339, 255255, 450556, 1797450",validation,0.0464,0.0000,0.0422,0,0
1,mcc_multi,"1854936, 1625339, 255255, 450556, 1797450",all,0.0474,0.0000,0.0437,0,0
1,mcc_multi,"2139966, 2015092, 125400, 1814306, 1462675",training,0.2664,0.0000,0.2361,0,0
1,mcc_multi,"2139966, 2015092, 125400, 1814306, 1462675",validation,0.2557,0.0000,0.2261,0,3
1,mcc_multi,"2139966, 2015092, 125400, 1814306, 1462675",all,0.2579,0.0000,0.2282,0,3
1,mcc_multi,"1625339, 1855080, 255255, 450556, 1797450",training,0.0547,0.0000,0.0485,0,0
1,mcc_multi,"1625339, 1855080, 255255, 450556, 1797450",validation,0.0466,0.0000,0.0414,0,0
1,mcc_multi,"1625339, 1855080, 255255, 450556, 1797450",all,0.0481,0.0000,0.0427,0,0
1,mcc_multi,"486320, 170618, 1447337, 1008938, 1867586",training,0.1997,0.1764,0.2048,0,0
1,mcc_multi,"486320, 170618, 1447337, 1008938, 1867586",validation,0.1993,0.0807,0.1986,0,0
1,mcc_multi,"486320, 170618, 1447337, 1008938, 1867586",all,0.1994,0.1065,0.1998,0,0
1,mcc_multi,"486325, 170618, 1447337, 1008938, 1867586",training,0.1997,0.1764,0.2048,0,0
1,mcc_multi,"486325, 170618, 1447337, 1008938, 1867586",validation,0.1989,0.0807,0.1981,0,0
1,mcc_multi,"486325, 170618, 1447337, 1008938, 1867586",all,0.1990,0.1065,0.1994,0,0
1,mcc_multi,"486331, 170618, 1447337, 1008938, 1867586",training,0.1997,0.1764,0.2048,0,0
1,mcc_multi,"486331, 170618, 1447337, 1008938, 1867586",validation,0.1990,0.0807,0.1982,0,0
1,mcc_multi,"486331, 170618, 1447337, 1008938, 1867586",all,0.1991,0.1065,0.1995,0,0
1,mcc_multi,"486347, 170618, 1447337, 1008938, 1867586",training,0.1997,0.1764,0.2048,0,0
1,mcc_multi,"486347, 170618, 1447337, 1008938, 1867586",validation,0.1988,0.0807,0.1980,0,0
1,mcc_multi,"486347, 170618, 1447337, 1008938, 1867586",all,0.1990,0.1065,0.1994,0,0
1,mcc_multi,"486349, 170618, 1447337, 1008938, 1867586",training,0.1997,0.1764,0.2048,0,0
1,mcc_multi,"486349, 170618, 1447337, 1008938, 1867586",validation,0.1989,0.0807,0.1981,0,0
1,mcc_multi,"486349, 170618, 1447337, 1008938, 1867586",all,0.1990,0.1065,0.1994,0,0
2,mcc_multi,"1997356, 2165532, 319035, 253241, 505826",training,0.2321,0.0000,0.2369,0,0
2,mcc_multi,"1997356, 2165532, 319035, 253241, 505826",validation,0.2202,0.0000,0.2288,0,16
2,mcc_multi,"1997356, 2165532, 319035, 253241, 505826",all,0.2226,0.0000,0.2304,0,16
2,mcc_multi,"1997357, 2165532, 319035, 253241, 505826",training,0.2321,0.0000,0.2369,0,0
2,mcc_multi,"1997357, 2165532, 319035, 253241, 505826",validation,0.2202,0.0000,0.2288,0,16
2,mcc_multi,"1997357, 2165532, 319035, 253241, 505826",all,0.2226,0.0000,0.2304,0,16
2,mcc_multi,"1997358, 2165532, 319035, 253241, 505826",training,0.2321,0.0000,0.2369,0,0
2,mcc_multi,"1997358, 2165532, 319035, 253241, 505826",validation,0.2202,0.0000,0.2288,0,16
2,mcc_multi,"1997358, 2165532, 319035, 253241, 505826",all,0.2226,0.0000,0.2304,0,16
2,mcc_multi,"1997380, 1020160, 885824, 1273885, 1311704",training,0.4011,0.0000,0.3196,0,0
2,mcc_multi,"1997380, 1020160, 885824, 1273885, 1311704",validation,0.3972,0.0000,0.3273,0,3
2,mcc_multi,"1997380, 1020160, 885824, 1273885, 1311704",all,0.3980,0.0000,0.3258,0,3
2,mcc_multi,"1997382, 1020160, 885824, 999752, 303120",training,0.4238,0.0000,0.3412,0,0
2,mcc_multi,"1997382, 1020160, 885824, 999752, 303120",validation,0.4240,0.0000,0.3560,0,1
2,mcc_multi,"1997382, 1020160, 885824, 999752, 303120",all,0.4239,0.0000,0.3531,0,1
2,mcc_multi,"1997476, 140708, 333021, 1658398, 908304",training,0.2809,0.0000,0.2225,0,0
2,mcc_multi,"1997476, 140708, 333021, 1658398, 908304",validation,0.2815,0.0000,0.2333,0,10
2,mcc_multi,"1997476, 140708, 333021, 1658398, 908304",all,0.2814,0.0000,0.2311,0,10
2,mcc_multi,"1421007, 448892, 670518, 1650579, 1645084",training,0.0586,0.0000,0.0606,0,0
