GOI,NON_GOI,mcc,TP,TN,FP,FN,sensitivity,specificity,untypeable,snp_sets,partition,type
1,1,1,144,2273,0,0,1,1,0,"1464166, 1462087",training,mcc
0.953851594588817,0.953851594588817,0.953851594588817,2401,26025,202,13,0.994614747307374,0.992298013497541,19,"1464166, 1462087",validation,mcc
0.956418698744571,0.956418698744571,0.956418698744571,2545,28298,202,13,0.994917904612979,0.992912280701754,19,"1464166, 1462087",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464223, 1462087, 21564",training,mcc
0.950255269586865,0.950255269586865,0.950255269586865,2402,26004,220,13,0.994616977225673,0.991610738255033,21,"1464223, 1462087, 21564",validation,mcc
0.953009439447597,0.953009439447597,0.953009439447597,2546,28277,220,13,0.994919890582259,0.992279889111134,21,"1464223, 1462087, 21564",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464227, 1462087, 21564",training,mcc
0.949982947286794,0.949982947286794,0.949982947286794,2400,26005,219,15,0.993788819875776,0.991648871262965,21,"1464227, 1462087, 21564",validation,mcc
0.952755158517426,0.952755158517426,0.952755158517426,2544,28278,219,15,0.994138335287222,0.992314980524266,21,"1464227, 1462087, 21564",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464266, 1462087, 21564",training,mcc
0.946710416634468,0.946710416634468,0.946710416634468,2387,26004,220,28,0.988405797101449,0.991610738255033,21,"1464266, 1462087, 21564",validation,mcc
0.949678282208412,0.949678282208412,0.949678282208412,2531,28277,220,28,0.98905822586948,0.992279889111134,21,"1464266, 1462087, 21564",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464289, 1462087, 21564",training,mcc
0.946637914908637,0.946637914908637,0.946637914908637,2385,26006,218,30,0.987577639751553,0.991687004270897,21,"1464289, 1462087, 21564",validation,mcc
0.949613440547735,0.949613440547735,0.949613440547735,2529,28279,218,30,0.988276670574443,0.992350071937397,21,"1464289, 1462087, 21564",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464403, 1462087, 21564",training,mcc
0.944780820335079,0.944780820335079,0.944780820335079,2383,25999,226,31,0.987158243579122,0.991382268827455,21,"1464403, 1462087, 21564",validation,mcc
