NON_GOI,GOI,mcc,TP,TN,FP,FN,sensitivity,specificity,untypeable,snp_sets,partition,type,set
0.945750046826384,0.945750046826384,0.945750046826384,479,5686,7,44,0.915869980879541,0.998770419813806,0,"1839736, 1462658, 399631, 313480, 1475702",training,mcc,1
0.941002018506257,0.941002018506257,0.941002018506257,1889,22754,61,157,0.923264907135875,0.997326320403243,0,"1839736, 1462658, 399631, 313480, 1475702",validation,mcc,1
0.941943779306858,0.941943779306858,0.941943779306858,2368,28440,68,201,0.921759439470611,0.99761470464431,0,"1839736, 1462658, 399631, 313480, 1475702",all,mcc,1
0.942522866180694,0.942522866180694,0.942522866180694,478,5684,9,45,0.91395793499044,0.99841911118918,0,"2034218, 1462658, 1456955, 678802, 1915514",training,mcc,1
0.932661836989623,0.932661836989623,0.932661836989623,1864,22747,67,181,0.911491442542787,0.99706320680284,2,"2034218, 1462658, 1456955, 678802, 1915514",validation,mcc,1
0.934652572765315,0.934652572765315,0.934652572765315,2342,28431,76,226,0.911993769470405,0.997333988143263,2,"2034218, 1462658, 1456955, 678802, 1915514",all,mcc,1
0.936020020052049,0.936020020052049,0.936020020052049,474,5682,11,49,0.906309751434035,0.998067802564553,0,"1261781, 1462658, 1456955, 678802, 1461919",training,mcc,1
0.947000838316906,0.947000838316906,0.947000838316906,1901,22763,51,145,0.929130009775171,0.997764530551416,1,"1261781, 1462658, 1456955, 678802, 1461919",validation,mcc,1
0.944773542908792,0.944773542908792,0.944773542908792,2375,28445,62,194,0.924484235110938,0.997825095590557,1,"1261781, 1462658, 1456955, 678802, 1461919",all,mcc,1
0.934895941973544,0.934895941973544,0.934895941973544,472,5683,10,51,0.902485659655832,0.998243456876866,0,"1230154, 1462658, 1456955, 678802, 831745",training,mcc,1
0.932035862295015,0.932035862295015,0.932035862295015,1856,22754,60,190,0.90713587487781,0.997370035942842,1,"1230154, 1462658, 1456955, 678802, 831745",validation,mcc,1
0.932608221240014,0.932608221240014,0.932608221240014,2328,28437,70,241,0.906189178668743,0.997544462763532,1,"1230154, 1462658, 1456955, 678802, 831745",all,mcc,1
0.939249506622326,0.939249506622326,0.939249506622326,475,5684,9,48,0.908221797323136,0.99841911118918,0,"77785, 1462658, 1456955, 1005416, 678802",training,mcc,1
0.931499870570027,0.931499870570027,0.931499870570027,1856,22751,62,190,0.90713587487781,0.997282251347916,2,"77785, 1462658, 1456955, 1005416, 678802",validation,mcc,1
0.933064166537861,0.933064166537861,0.933064166537861,2331,28435,71,238,0.907356948228883,0.997509296288501,2,"77785, 1462658, 1456955, 1005416, 678802",all,mcc,1
0.939249506622326,0.939249506622326,0.939249506622326,475,5684,9,48,0.908221797323136,0.99841911118918,0,"77798, 1462658, 1456955, 1005416, 678802",training,mcc,1
0.93096492227189,0.93096492227189,0.93096492227189,1856,22749,64,190,0.90713587487781,0.997194582036558,2,"77798, 1462658, 1456955, 1005416, 678802",validation,mcc,1
0.932636166175124,0.932636166175124,0.932636166175124,2331,28433,73,238,0.907356948228883,0.997439135620571,2,"77798, 1462658, 1456955, 1005416, 678802",all,mcc,1
0.937029090327638,0.937029090327638,0.937029090327638,471,5686,7,52,0.90057361376673,0.998770419813806,0,"574359, 1462658, 1456955, 831745, 678802",training,mcc,1
0.936687473697492,0.936687473697492,0.936687473697492,1865,22761,53,180,0.9119804400978,0.997676865082844,2,"574359, 1462658, 1456955, 831745, 678802",validation,mcc,1
0.936741264716131,0.936741264716131,0.936741264716131,2336,28447,60,232,0.909657320872274,0.997895253797313,2,"574359, 1462658, 1456955, 831745, 678802",all,mcc,1
0.935375846259692,0.935375846259692,0.935375846259692,482,5673,20,41,0.921606118546845,0.996486913753733,0,"1359505, 1462658, 1456955, 1897473, 678802",training,mcc,1
0.938379045456137,0.938379045456137,0.938379045456137,1905,22725,89,140,0.931540342298289,0.996098886648549,2,"1359505, 1462658, 1456955, 1897473, 678802",validation,mcc,1
0.937766431439234,0.937766431439234,0.937766431439234,2387,28398,109,181,0.929517133956386,0.996176377731785,2,"1359505, 1462658, 1456955, 1897473, 678802",all,mcc,1
