type,snp_sets,partition,R_R,S_S,S_R,R_S,untypeable
mcc_multi,"690728, 1462232, 1120938, 71016, 1373841",training,0.871715646,0.989457953,0.94224932,,0
mcc_multi,"690728, 1462232, 1120938, 71016, 1373841",validation,0.729448231,0.975091059,0.870233809,0,223
mcc_multi,"690728, 1462232, 1120938, 71016, 1373841",all,0.73733526,0.976204247,0.875243908,0,223
mcc_multi,"1763893, 1462232, 134532, 631940, 898599",training,0.923877843,0.890866672,0.854189981,,0
mcc_multi,"1763893, 1462232, 134532, 631940, 898599",validation,0.819250821,0.531180798,0.487307223,0,430
mcc_multi,"1763893, 1462232, 134532, 631940, 898599",all,0.825322151,0.56000676,0.513468198,0,430
mcc_multi,"1763896, 1462232, 134532, 631940, 898599",training,0.923877843,0.890866672,0.854189981,,0
mcc_multi,"1763896, 1462232, 134532, 631940, 898599",validation,0.819235201,0.530659166,0.486896324,0,454
mcc_multi,"1763896, 1462232, 134532, 631940, 898599",all,0.825308637,0.559568785,0.513114766,0,454
mcc_multi,"244219, 631940, 1462232, 1120938, 1373841",training,0.898144309,0.887386499,0.839879325,,0
mcc_multi,"244219, 631940, 1462232, 1120938, 1373841",validation,0.720593909,0.475140564,0.366769864,0,192
mcc_multi,"244219, 631940, 1462232, 1120938, 1373841",all,0.730075065,0.507675559,0.400089065,0,192
mcc_multi,"1360306, 1462258, 134532, 1372843, 631940",training,0.917986574,0.838379772,0.79174496,,0
mcc_multi,"1360306, 1462258, 134532, 1372843, 631940",validation,0.747638697,0.367947529,0.338462396,0,415
mcc_multi,"1360306, 1462258, 134532, 1372843, 631940",all,0.756893793,0.408305262,0.37228042,0,415
mcc_multi,"1360309, 1462258, 134532, 1372843, 631940",training,0.917986574,0.838379772,0.79174496,,0
mcc_multi,"1360309, 1462258, 134532, 1372843, 631940",validation,0.747638697,0.368650783,0.33862824,0,415
mcc_multi,"1360309, 1462258, 134532, 1372843, 631940",all,0.756893793,0.40895454,0.372436869,0,415
mcc_multi,"463854, 1120938, 1462258, 631940, 1373841",training,0.892685692,0.84250897,0.788161525,,0
mcc_multi,"463854, 1120938, 1462258, 631940, 1373841",validation,0.739169222,0.46770235,0.35654508,0,1728
mcc_multi,"463854, 1120938, 1462258, 631940, 1373841",all,0.747547445,0.500589444,0.38932005,0,1728
mcc_multi,"243956, 631940, 1462232, 464949, 1373841",training,0.887315908,0.88682218,0.834566969,,0
mcc_multi,"243956, 631940, 1462232, 464949, 1373841",validation,0.748766725,0.497921386,0.411906885,0,1302
mcc_multi,"243956, 631940, 1462232, 464949, 1373841",all,0.756490959,0.529917585,0.442906474,0,1302
mcc_multi,"243959, 631940, 1462232, 464949, 1373841",training,0.887315908,0.88682218,0.834566969,,0
mcc_multi,"243959, 631940, 1462232, 464949, 1373841",validation,0.748766725,0.497852918,0.411840864,0,1302
mcc_multi,"243959, 631940, 1462232, 464949, 1373841",all,0.756490959,0.529855358,0.442845468,0,1302
mcc_multi,"243960, 631940, 1462232, 464949, 1373841",training,0.887315908,0.88682218,0.834566969,,0
mcc_multi,"243960, 631940, 1462232, 464949, 1373841",validation,0.748766725,0.497852918,0.411840864,0,1302
mcc_multi,"243960, 631940, 1462232, 464949, 1373841",all,0.756490959,0.529855358,0.442845468,0,1302
simpson_by_group,"1464166, 1462087",training,1,0.371651582,0,,0
simpson_by_group,"1464166, 1462087",validation,0.953851595,0.335129775,0,0,19
simpson_by_group,"1464166, 1462087",all,0.956418699,0.33832659,0,0,19
simpson_by_group,"1464223, 1462087, 21564",training,1,0.371651582,0,,0
simpson_by_group,"1464223, 1462087, 21564",validation,0.95025527,0.336321727,0,0,21
simpson_by_group,"1464223, 1462087, 21564",all,0.953009439,0.339463279,0,0,21
simpson_by_group,"1464227, 1462087, 21564",training,1,0.371651582,0,,0
simpson_by_group,"1464227, 1462087, 21564",validation,0.949982947,0.336340881,0,0,21
simpson_by_group,"1464227, 1462087, 21564",all,0.952755159,0.339477893,0,0,21
simpson_by_group,"1464266, 1462087, 21564",training,1,0.371651582,0,,0
simpson_by_group,"1464266, 1462087, 21564",validation,0.946710417,0.335200343,0,0,21
simpson_by_group,"1464266, 1462087, 21564",all,0.949678282,0.338397443,0,0,21
simpson_by_group,"1464289, 1462087, 21564",training,1,0.371651582,0,,0
simpson_by_group,"1464289, 1462087, 21564",validation,0.946637915,0.334900894,0,0,21
simpson_by_group,"1464289, 1462087, 21564",all,0.949613441,0.338112845,0,0,21
simpson_by_group,"1464403, 1462087, 21564",training,1,0.371651582,0,,0
simpson_by_group,"1464403, 1462087, 21564",validation,0.94478082,0.335593657,0,0,21
simpson_by_group,"1464403, 1462087, 21564",all,0.947856038,0.33876766,0,0,21
simpson_by_group,"1464442, 1462087, 21564",training,1,0.371651582,0,,0
simpson_by_group,"1464442, 1462087, 21564",validation,0.924212128,0.335562272,0,0,21
simpson_by_group,"1464442, 1462087, 21564",all,0.928328369,0.33885097,0,0,21
simpson_by_group,"1464451, 1462087, 21564",training,1,0.371651582,0,,0
simpson_by_group,"1464451, 1462087, 21564",validation,0.943869726,0.335444082,0,0,21
simpson_by_group,"1464451, 1462087, 21564",all,0.94699832,0.338625495,0,0,21
simpson_by_group,"1464079, 1462087, 134496",training,1,0.373393291,0.046260206,,0
simpson_by_group,"1464079, 1462087, 134496",validation,0.948245866,0.334985021,-0.014415972,0,22
simpson_by_group,"1464079, 1462087, 134496",all,0.951180776,0.338285676,-0.010772849,0,22
simpson_by_group,"1464076, 1462087, 134496, 21564",training,1,0.373393291,0.046260206,,0
simpson_by_group,"1464076, 1462087, 134496, 21564",validation,0.944800894,0.336534395,-0.013631544,0,25
simpson_by_group,"1464076, 1462087, 134496, 21564",all,0.947917166,0.339754468,-0.01001682,0,25
